variant,deploy_context_mode,ablation,feature_family,question,interpretation_hint,n_trials,bce,early_bce_t0_19,peak_bce_t4_15,late_bce_t20_end,total_count_corr,total_count_mae,delta_bce,delta_early_bce_t0_19,delta_peak_bce_t4_15,delta_late_bce_t20_end,delta_total_count_mae,delta_bce_percent,importance_rank
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,current_pattern_zero,current_pattern,How much does the exact current pattern identity/bit state matter?,Large BCE increase means current pattern information is essential.,8910,0.0545192509889602,0.1178824603557586,0.1528286337852478,0.0333983115851879,0.1957450157482331,86.12071228027344,0.0208981335163116,0.057195845991373,0.0765369459986686,0.0087990090250968,57.14115715026856,62.15776002481967,1
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,current_pattern_shuffle_batch,current_pattern,Does swapping current patterns break predictions?,Large BCE increase means the model uses pattern-specific response structure.,8910,0.0428730361163616,0.0845109149813652,0.1079181060194969,0.0289937891066074,0.266440612689509,74.75789642333984,0.0092519186437129,0.0238243006169796,0.0316264182329177,0.0043944865465164,45.77834129333496,27.518177083910427,2
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_all_zero,z_history_gru,How much does the learned GRU history state contribute?,Large delta means the z-history GRU is important.,8910,0.0408269576728343,0.0731209889054298,0.0919391587376594,0.0300623048096895,0.7094729203756432,55.51025772094727,0.0072058402001857,0.0124343745410442,0.0156474709510803,0.0054630022495985,26.530702590942383,21.432482742573487,3
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_patterns_zero,z_history_gru,Does the GRU mainly need previous pattern tokens?,Large delta means previous pattern sequence matters.,8910,0.0391446724534034,0.0705881789326667,0.0890508070588111,0.0286636445671319,0.7172247867525892,47.03538513183594,0.0055235549807548,0.0099015645682811,0.012759119272232,0.0040643420070409,18.05583000183105,16.428826273393092,4
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_shuffle_batch,z_history_gru,Does assigning another trial's GRU history hurt?,Large delta means trial-specific history state matters.,8910,0.0380151458084583,0.0700147673487663,0.0887415260076522,0.0273486599326133,0.5948246619855083,54.0439338684082,0.0043940283358097,0.0093281529843807,0.0124498382210731,0.0027493573725223,25.06437873840332,13.069251310234788,5
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,pattern_baseline_only,residual_decoder,How much does the learned residual decoder add beyond the smoothed pattern baseline?,Large BCE increase means the neural residual head is important.,8910,0.0378016084432601,0.070817194879055,0.0895998999476432,0.0267965011298656,,68.80694580078125,0.0041804909706115,0.0101305805146694,0.0133082121610641,0.0021971985697746,39.82739067077637,12.434122613599849,6
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_shuffle_batch,z_window_context,Does assigning another trial's z-window context hurt?,Large delta means trial-specific context matters.,8910,0.0358623042702674,0.064734049141407,0.081313170492649,0.0262383911758661,0.7641044089010938,41.28619766235352,0.0022411867976188,0.0040474347770214,0.0050214827060699,0.0016390886157751,12.306642532348633,6.666009240894838,7
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_continuous_zero,z_history_gru,Does the GRU mainly need previous frequency/timing/validity values?,Large delta means continuous history values matter.,8910,0.0355115197598934,0.0642612427473068,0.0811707898974418,0.0259282700717449,0.8390602245236819,36.24843978881836,0.0018904022872447,0.0035746283829212,0.0048791021108627,0.0013289675116539,7.268884658813477,5.622663460792678,8
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_timing_zero,z_history_gru,Does recency/timing inside the GRU history matter?,Large delta means the model uses temporal order/age information.,8910,0.0352828353643417,0.064222015440464,0.081124722957611,0.0256364103406667,0.822449265171927,35.29391860961914,0.0016617178916931,0.0035354010760784,0.0048330351710319,0.0010371077805757,6.314363479614258,4.942482631771393,9
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,electrode_embedding_zero,electrode_features,How much does learned electrode identity contribute beyond coordinates/rate?,Large delta means electrode-specific learned offsets are important.,8910,0.0352228842675685,0.0644323974847793,0.0813073441386222,0.0254864916205406,0.8847243183623931,30.48640251159668,0.0016017667949199,0.0037457831203937,0.0050156563520431,0.0008871890604496,1.5068473815917969,4.764168818074039,10
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,time_embedding_zero,temporal_decoder,How much does the learned time-bin embedding contribute?,Large delta means learned temporal shape matters beyond fixed time features.,8910,0.0345672219991683,0.0637521594762802,0.0806866362690925,0.0248388834297657,0.8873520528420682,30.4285888671875,0.0009461045265197,0.0030655451118946,0.0043949484825134,0.0002395808696746,1.4490337371826172,2.814018681233449,11
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_all_zero,z_window_context,How much do non-GRU z-window summary features contribute?,Large delta means handcrafted previous-z summaries are useful.,8910,0.0345234349370002,0.0624161213636398,0.0784911960363388,0.0252258982509374,0.8346199126931497,35.840579986572266,0.0009023174643516,0.0017295069992542,0.0021995082497596,0.0006265956908464,6.861024856567383,2.6837818971534944,12
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_frequency_zero,z_window_context,Are frequency-derived z-window context fields useful or redundant?,Small delta means frequency context is not adding much beyond other features.,8910,0.0344694592058658,0.06223851069808,0.078263834118843,0.0252130683511495,0.8395795639366019,35.35024642944336,0.0008483417332172,0.0015518963336944,0.0019721463322639,0.0006137657910585,6.370691299438477,2.523240739714796,13
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,history_frequency_zero,z_history_gru,Does previous frequency inside the GRU history matter?,Small delta means previous-frequency information is weak or redundant.,8910,0.034374002367258,0.0623106509447097,0.078563205897808,0.025061622262001,0.8615145814769223,31.75589942932129,0.0007528848946094,0.0016240365803241,0.0022715181112289,0.00046231970191,2.7763442993164062,2.239321447961796,14
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,coordinates_zero,electrode_features,How much do physical electrode coordinates contribute?,Large delta means spatial coordinate information is useful.,8910,0.0342802070081234,0.0622679889202117,0.0785085335373878,0.0249510146677494,0.8930469936431091,28.99168586730957,0.0006590895354747,0.0015813745558261,0.0022168457508087,0.0003517121076583,0.0121307373046875,1.9603439297071497,15
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,graph_identity_adjacency,electrode_graph,Does neighbor message passing across electrodes matter after training?,Large delta means graph smoothing/neighborhood interaction is useful.,8910,0.0340562127530574,0.0616566576063632,0.0776446536183357,0.0248561482876539,0.8927619108717768,29.936717987060547,0.0004350952804088,0.0009700432419776,0.0013529658317565,0.0002568457275629,0.957162857055664,1.294113084619561,16
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,prev_pattern_zero,previous_pattern_context,Does the immediate previous pattern embedding contribute separately from the longer GRU history?,Large delta means the one-step previous pattern signal is useful.,8910,0.0340386778116226,0.061502818018198,0.0773206353187561,0.0248840544372797,0.8868624952172363,33.92981719970703,0.0004175603389739,0.0008162036538124,0.0010289475321769,0.0002847518771886,4.950262069702148,1.2419585378555362,17
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,frequency_shuffle_batch,frequency,Does mismatching frequency to trial hurt predictions?,Large delta means frequency-specific conditioning is meaningful.,8910,0.0337312519550323,0.0608807504177093,0.0765485167503357,0.0246814209967851,0.8919748836438517,29.41608238220215,0.0001101344823837,0.0001941360533237,0.0002568289637565,8.21184366941452e-05,0.4365272521972656,0.3275753177250113,18
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,frequency_train_mean,frequency,How much direct frequency conditioning is needed at inference?,"Small delta means frequency is weak, redundant, or mostly captured elsewhere.",8910,0.0336658284068107,0.060811374336481,0.0764523670077323,0.0246172808110713,0.892933666957382,29.32148742675781,4.471093416213989e-05,0.0001247599720954,0.0001606792211532,1.7978250980377197e-05,0.3419322967529297,0.1329846760700712,19
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,full_model,reference,Reference validation performance.,Use deltas versus this row.,8910,0.0336211174726486,0.0606866143643856,0.0762916877865791,0.024599302560091,0.8960027542439346,28.979555130004883,0.0,0.0,0.0,0.0,0.0,0.0,20
task2_best_C4_bits_H24_GRU2_freqRBF16,z_window_summary,context_nonfrequency_zero,z_window_context,Are non-frequency z-window fields useful?,Large delta points to order/history/pattern context being important.,8910,0.0335932485759258,0.0606864877045154,0.0762908682227134,0.0245621018111705,0.8962260175355165,28.995609283447266,-2.786889672279358e-05,-1.2665987014770508e-07,-8.195638656616211e-07,-3.7200748920440674e-05,0.0160541534423828,-0.0828910482986338,21
