variant,base_variant,split_id,description,changes,deploy_context_mode,use_z_gru_state,question,needs_base_predictions,context_feature_names,context_dim,context_has_frequency_fields,experiment_group,history_strategy,freq_strategy,z_history_len,z_gru_hidden_dim,z_gru_layers,dropout,weight_decay,aux_count_weight,aux_psth_weight,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,train_patterns,val_patterns,best_val_bce,best_epoch,val_global_bce,val_pattern_bce,improvement_vs_global_percent,improvement_vs_pattern_percent,total_count_corr_model,total_count_corr_pattern,total_count_mae_model,total_count_mae_pattern,n_params,epochs_run,final_train_bce,final_val_bce,final_val_train_gap,device,gpu_id,elapsed_min,best_model_path
hist_H24_D64_layers2,hist_H24_D64_layers2,shared_random,Two-layer z-GRU with hidden 64.,{'z_gru_layers': 2},z_window_summary,True,history_layers,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H24_D64_embedding_layers2,direct_rbf16_plus_context,24,64,2,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03397202383722654,110,0.038230784237384796,0.03627234324812889,11.140075252633423,6.342289850764877,0.8969224079225482,0.6767576458137138,28.2497615814209,46.87173843383789,322770,158,0.03207007396005978,0.034150779749842736,0.0020807057897829564,cuda:0,6,11.844912254810334,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H24_D64_layers2/best_model_this_variant.pth
hist_H40_D64,hist_H40_D64,shared_random,Grid point: 40-step z-history window with GRU hidden dimension 64.,"{'z_history_len': 40, 'z_gru_hidden_dim': 64}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H40_D64_embedding,direct_rbf16_plus_context,40,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.034031138217910775,116,0.038230784237384796,0.03627234324812889,10.989614809181935,6.183705644872645,0.8932807244917382,0.6767576458137138,28.639080047607422,46.87173843383789,297810,160,0.03201006295426348,0.03424714034554934,0.002237077391285862,cuda:0,1,12.25176556110382,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H40_D64/best_model_this_variant.pth
hist_H40_D96,hist_H40_D96,shared_random,Grid point: 40-step z-history window with GRU hidden dimension 96.,"{'z_history_len': 40, 'z_gru_hidden_dim': 96}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H40_D96_embedding,direct_rbf16_plus_context,40,96,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03403832158188761,82,0.038230784237384796,0.03627234324812889,10.967466205596338,6.160361178841102,0.8945618992601504,0.6767576458137138,28.698530197143555,46.87173843383789,335570,130,0.03202554916400634,0.03422963684957838,0.002204087685572044,cuda:0,0,9.993052426973978,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H40_D96/best_model_this_variant.pth
hist_H24_D96,hist_H24_D96,shared_random,Grid point: 24-step z-history window with GRU hidden dimension 96.,"{'z_history_len': 24, 'z_gru_hidden_dim': 96}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H24_D96_embedding,direct_rbf16_plus_context,24,96,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03429666467587956,94,0.038230784237384796,0.03627234324812889,10.300036112065502,5.456894746447569,0.8884752399649689,0.6767576458137138,29.310546875,46.87173843383789,335570,142,0.03193672857356348,0.034622187459241394,0.0026854588856779146,cuda:0,2,11.18338250319163,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H24_D96/best_model_this_variant.pth
freq_rbf8,freq_rbf8,shared_random,Direct frequency encoder with fewer RBF bins.,{'freq_rbf_dim': 8},z_window_summary,True,rbf_resolution,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,frequency,H24_D64_embedding,direct_rbf8_plus_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03441739223654958,90,0.038230784237384796,0.03627234324812889,9.972990981338071,5.112191572925061,0.882105737422937,0.6767576458137138,30.099838256835938,46.87173843383789,296274,138,0.032467333285930315,0.034627729797303074,0.0021603965113727586,cuda:0,5,10.276710295677185,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_rbf8/best_model_this_variant.pth
freq_context_only,freq_context_only,shared_random,Remove direct frequency encoder; rely on frequency-rich z-window context and z-history only.,{'use_frequency_features': False},z_window_summary,True,direct_frequency_ablation,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,frequency,H24_D64_embedding,context_only_no_direct_frequency,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,False,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03442086760711456,98,0.038230784237384796,0.03627234324812889,9.966394146922124,5.105238557745407,0.8781993264214067,0.6767576458137138,29.871232986450195,46.87173843383789,292818,146,0.032474073511783524,0.034620047986139484,0.002145974474355959,cuda:0,3,10.756840109825134,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_context_only/best_model_this_variant.pth
freq_film_rbf16,freq_film_rbf16,shared_random,Use direct frequency features to FiLM-modulate the shared condition representation.,{'use_frequency_film': True},z_window_summary,True,frequency_modulation,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,frequency,H24_D64_embedding,direct_rbf16_context_film,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,True,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.034438887109727034,96,0.038230784237384796,0.03627234324812889,9.921171239205114,5.0575739440839955,0.8833461074727907,0.6767576458137138,29.564804077148438,46.87173843383789,340050,144,0.03264213005060611,0.034539863396139125,0.0018977333455330175,cuda:0,0,10.616696226596833,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_film_rbf16/best_model_this_variant.pth
C4_linear_H24_D64_freq_rbf16,C4_linear_H24_D64_freq_rbf16,shared_random,"Current cleaned baseline: 24-step z-GRU, hidden 64, direct frequency RBF16 plus frequency-rich z-window context.",{},z_window_summary,True,current_reference,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,baseline,H24_D64_embedding,direct_rbf16_plus_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03444367716241498,92,0.038230784237384796,0.03627234324812889,9.907519592208446,5.04318520809183,0.8838432816364806,0.6767576458137138,29.504976272583008,46.87173843383789,297810,140,0.03241638889695837,0.03462872614396274,0.00221233724700437,cuda:0,0,10.296785700321198,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/C4_linear_H24_D64_freq_rbf16/best_model_this_variant.pth
freq_fourier_only,freq_fourier_only,shared_random,Direct frequency encoder without RBF bins; keeps normalized frequency and log-Fourier terms.,{'use_rbf_features': False},z_window_summary,True,rbf_ablation,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,frequency,H24_D64_embedding,direct_fourier_no_rbf_plus_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,False,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0344787310236097,74,0.038230784237384796,0.03627234324812889,9.812182180206028,4.942700273796797,0.8786173879364749,0.6767576458137138,30.493682861328125,46.87173843383789,294738,122,0.03276711436350204,0.03458585074269678,0.0018187363791947395,cuda:0,2,9.123409748077393,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_fourier_only/best_model_this_variant.pth
freq_rbf32,freq_rbf32,shared_random,Direct frequency encoder with more RBF bins.,{'freq_rbf_dim': 32},z_window_summary,True,rbf_resolution,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,frequency,H24_D64_embedding,direct_rbf32_plus_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03451577083497202,92,0.038230784237384796,0.03627234324812889,9.71804330680503,4.843478590413281,0.8776434227722156,0.6767576458137138,30.224140167236328,46.87173843383789,300882,140,0.03239729382568783,0.03478067581082969,0.002383381985141861,cuda:0,7,10.393487457434336,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_rbf32/best_model_this_variant.pth
